period,value_m3
2022-01,763.95
2022-02,590.98
2022-03,611.83
2022-04,673.17
2022-05,603.13
2022-06,756.58
2022-07,722.44
2022-08,811.76
2022-09,812.76
2022-10,862.78
2022-11,770.18
2022-12,923.81
2023-01,1236.23
2023-02,1324.70
2023-03,1476.22
2023-04,1386.31
2023-05,1393.96
2023-06,809.42
2023-07,1160.46
2023-08,1156.39
2023-09,1200.06
2023-10,1200.44
2023-11,1068.59
2023-12,1219.38
2024-01,1077.88
2024-02,1152.57
2024-03,1100.43
2024-04,1063.44
2024-05,1370.67
2024-06,1205.00
2024-07,1498.10
2024-08,1373.95
2024-09,1349.09
2024-10,1358.47
2024-11,1227.36
2024-12,1148.38
2025-01,1580.93
2025-02,1244.89
2025-03,1239.17
2025-04,1636.88
2025-05,1449.44
2025-06,1156.62
2025-07,1330.75
2025-08,1041.55
2025-09,1361.19
2025-10,1258.72
